Color,Smell,Taste,Texture,pH_Level,Moisture_Content,Nutrient_Content,Temperature,QualityResult
172,Moderate,Poor,Good,3.143259402003656,40.82193209644458,54.88062785951602,6.849211057838403,Poor
47,Poor,Good,Poor,6.8638231231735585,27.20238334573992,9.251640944579353,10.284302752491548,Poor
117,Good,Moderate,Good,4.90112408227728,17.463180691068526,82.87558973178662,25.157765571695748,Moderate
192,Poor,Good,Moderate,6.837218757749917,60.55455769810989,76.91174164408457,24.397412976278098,Poor
67,Poor,Poor,Moderate,5.552429332203047,12.218253125963729,60.08934126072292,39.45865601086101,Poor
251,Good,Moderate,Moderate,5.656917627724406,74.29309140422103,64.3229364951651,-8.050454603379416,Poor
195,Good,Good,Moderate,7.122943196302398,40.12833372593928,4.714684616309006,-7.452730785853971,Moderate
103,Moderate,Poor,Moderate,6.699665561559092,25.835028011352236,92.05031242925604,41.07584060870595,Poor
9,Moderate,Good,Moderate,7.349514786364133,11.740266228596298,31.8737059840284,4.082387644605049,Moderate
211,Poor,Moderate,Poor,8.391490265334696,62.20236354889771,81.30111048454995,33.785280987611266,Poor
21,Moderate,Good,Good,7.093348355691402,61.59707427787298,17.967652747876595,31.69759174757946,Moderate
242,Poor,Good,Poor,6.050729827941621,79.76678287908993,27.49110514087979,-2.7180642844654272,Poor
36,Moderate,Good,Moderate,5.148289971637885,37.56635546937521,94.65094584542312,43.817741080544614,Moderate
87,Poor,Poor,Poor,7.6997608501716535,40.05900491306799,30.425925872946703,23.392297546469614,Poor
70,Moderate,Good,Good,3.730890988871366,85.42436469757733,54.54201328562712,9.946002677560909,Moderate
216,Moderate,Poor,Moderate,7.99285698869042,41.63234022141806,5.31999726722896,46.636022901473865,Poor
88,Poor,Poor,Poor,6.41037505789104,32.01013916661959,73.81771093712342,48.256132334599954,Poor
140,Good,Good,Poor,8.38878442408378,11.822234528625785,54.38073824128985,5.479940336735805,Poor
58,Moderate,Moderate,Moderate,7.117484589777912,89.38107172232561,63.246591615483105,1.1598302594198842,Moderate
193,Poor,Moderate,Good,8.102772073872188,52.007635208101846,52.769750589574016,13.198926159591188,Poor
230,Poor,Moderate,Good,7.853036009692525,14.481004754391535,45.102974699044786,22.917822027982737,Poor
39,Poor,Moderate,Poor,4.215015590452566,42.86862157380511,18.67338541942147,47.74311203300294,Poor
87,Good,Good,Good,6.007311522883467,32.53542142591929,73.85358476379103,44.9446262966981,Good
174,Good,Good,Good,8.296074622524205,10.509882925659142,93.31162885686409,-4.96505395351619,Moderate
88,Moderate,Poor,Moderate,3.3573689234735333,52.29366586439821,15.88915051773161,31.194303679494965,Poor
81,Poor,Poor,Moderate,7.524358520664346,66.78759836732297,65.5575080317124,40.403094849754794,Poor
